# z         Log L_0.5-2keV
      1.86700      43.6020
     0.893000      43.7086
      1.14700      43.3795
     0.946000      42.3590
     0.958000      42.2107
     0.530000      42.3111
      2.44300      43.0676
      1.68100      43.3596
     0.889000      42.4157
      1.76000      43.1061
     0.262000      41.2033
     0.497000      41.7839
      1.86400      43.5505
     0.168000      40.5996
     0.623000      43.5780
      1.82700      42.6393
      2.02100      43.8554
      1.00100      42.3966
      1.60100      42.5796
      1.12000      42.8394
      2.12500      43.0948
     0.673000      42.3118
      1.46600      42.7110
      1.50600      42.6590
      2.38600      43.5457
      2.37900      43.3965
     0.355000      41.1526
     0.346000      42.0986
     0.623000      42.7496
     0.760000      41.9429
      1.07800      43.0792
      1.16100      43.3978
      2.02600      44.4393
      1.86900      43.0796
      1.26600      42.9705
      2.92900      43.4420
      2.36500      43.2235
      2.93000      43.4517
      1.91400      42.9531
      1.11000      42.8537
      1.13300      42.2533
     0.679000      42.5642
      1.41100      43.0896
     0.910000      43.6079
     0.707000      42.7102
     0.124000      40.2657
     0.415000      41.2695
      2.30900      43.6157
      1.44400      43.4776
     0.219000      40.7112
      1.75500      42.7197
     0.958000      43.0288
      1.22000      42.9580
      1.98000      42.8708
      1.57100      43.6899
      2.62200      42.8563
      1.75000      43.2604
     0.753000      41.7702
      1.18200      41.9812
      2.05100      43.8939
      4.25500      44.0354
     0.373000      41.8484
      2.18800      43.7627
      2.61100      44.3792
     0.340000      42.0771
      1.26000      42.6815
      1.10300      42.0136
      1.11500      42.8204
     0.728000      41.9935
      2.54800      43.0770
     0.354000      42.7639
     0.349000      41.3751
      1.86300      43.6683
      2.61300      43.4929
      1.62300      42.8186
      2.83800      43.4971
      1.85300      42.9458
      2.26600      43.7820
      1.05200      42.7182
      1.69400      43.2992
      1.15600      44.6739
      1.17000      42.8004
      1.04200      42.4896
      1.18700      43.8726
      2.43500      43.5348
      1.79300      42.7207
     0.952000      43.0413
     0.339000      42.5497
      2.21900      42.8231
     0.883000      42.1212
      3.08600      43.9630
     0.359000      41.5382
     0.633000      42.0475
      1.21100      43.5186
      1.39100      42.3842
     0.763000      42.6366
      1.02400      44.6468
      1.62300      42.8833
      3.31000      43.5673
      1.77700      43.0523
      2.68300      43.2471
      2.57600      43.7215
      1.75300      44.4056
     0.955000      42.9776
     0.958000      43.0994
      1.11600      42.7198
      1.24500      42.5756
      1.98800      42.7133
      1.49400      42.6509
     0.955000      42.2948
      1.68900      42.8458
      1.22500      42.8027
     0.914000      42.4923
      1.05300      42.9328
      1.91700      43.2328
      2.17700      42.7999
      2.22600      43.7270
      2.04400      42.9768
      2.04800      44.0069
      1.70500      42.7965
      1.81900      42.8032
     0.686000      43.2636
      3.37100      43.6200
      2.27600      44.1393
      3.03300      43.4609
      2.19900      43.7018
      2.19800      43.7993
     0.812000      41.9697
      1.92100      43.9948
      1.84800      43.1288
      2.80200      44.1873
     0.991000      42.3847
      1.09100      42.9861
      3.05300      43.1772
     0.133000      40.3875
      1.63500      43.1875
     0.125000      40.4312
      3.06300      42.9442
     0.659000      42.3951
      3.29500      43.2966
      2.93600      43.3198
      2.19400      43.7871
      1.36900      42.6745
     0.352000      42.7050
      2.25000      43.5774
      3.49900      43.9810
      2.08400      43.0080
     0.552000      42.9852
      1.44600      43.2329
      1.27200      42.8414
      2.01800      44.1896
      1.77800      42.6137
      1.24600      42.2609
      2.49800      44.4231
      2.44400      43.0335
      1.77600      43.0730
      2.40400      44.1799
     0.622000      43.0323
      2.68800      43.3267
     0.930000      42.3696
     0.893000      42.9692
     0.987000      42.7464
      1.33200      43.0550
      1.69700      43.3057
      1.03300      43.4179
      2.26400      43.4859
      3.96000      43.7289
     0.304000      41.4982
     0.691000      42.0174
      2.13600      43.7458
      2.93500      43.5278
      1.60600      42.8720
    0.0300000      39.1696
     0.372000      43.8300
      2.43900      43.7772
      1.82600      43.7813
      2.58400      43.3702
      1.51900      42.7729
      1.17800      43.8338
      1.59100      43.2376
      1.55700      42.9050
     0.893000      42.5397
      1.92300      44.0191
      1.10900      42.1608
      1.57800      42.7186
      3.18900      43.4001
     0.438000      41.6187
      1.59000      42.2065
     0.732000      42.0985
      2.67100      44.1650
      3.14400      43.2255
      1.63900      43.0580
     0.360000      42.1738
     0.374000      41.4966
      1.17100      43.6237
     0.838000      43.0336
      2.13400      43.7101
      1.10300      42.2783
     0.166000      40.9090
     0.850000      42.8507
     0.916000      43.6447
      1.23800      42.7227
      1.57400      43.4984
      1.48300      44.0655
      1.84900      42.7105
      2.34700      43.9887
     0.528000      42.8954
      1.20300      42.1815
      1.60800      42.9765
     0.840000      42.8284
      1.37500      43.1374
     0.667000      42.5360
      1.40900      42.7973
      2.06600      43.5311
      2.08300      43.5073
    0.0790000      40.4730
      1.94100      43.1769
      2.41700      42.9707
     0.865000      42.8780
      2.37700      43.1810
     0.447000      41.7591
      1.37300      42.9042
      3.33000      43.7866
      1.04700      42.4507
      1.96400      42.7608
      1.53700      43.4807
      2.06200      43.7508
      1.64900      43.3380
      2.27900      44.1167
      1.39900      43.4381
     0.394000      41.8211
      1.12100      43.0114
      2.17900      43.9790
      1.86900      43.2990
     0.460000      42.0262
      2.17700      43.9573
      1.51500      43.6815
      1.60200      43.3181
     0.985000      42.8941
      1.72900      43.6786
      2.21300      44.5418
     0.762000      42.5930
      2.12300      43.2851
      3.47100      44.1161
      1.71900      43.2357
     0.934000      42.8053
      1.81300      43.2921
      2.97000      43.6243
      1.16200      43.5744
      1.12300      43.4253
      3.34500      44.0695
      2.93700      44.6218
      2.09000      43.4460
      1.81200      43.5462
     0.376000      43.1941
     0.133000      42.5149
      1.12500      42.8663
     0.360000      42.9158
     0.378000      42.9301
      2.15000      43.6550
      1.02800      43.5851
      1.37200      43.2921
      2.01700      43.6557
     0.711000      42.7142
     0.864000      42.6651
     0.905000      42.9987
