# z         Log L_0.5-2keV
      2.73602      44.9193
     0.126100      41.2049
      2.43851      44.5122
     0.630805      43.4181
      2.77721      44.4716
      2.49508      45.1488
     0.200325      41.7396
     0.355133      42.6342
      1.00693      44.3446
      1.66962      44.5391
      2.46206      44.3164
      2.02174      44.7309
     0.234697      42.0229
      1.14969      44.1146
      1.29856      44.1548
      2.42514      45.1309
     0.840750      43.9385
     0.896524      44.1731
      1.14800      44.5940
      1.09639      44.3555
    0.0793868      41.4290
     0.359121      43.6355
      1.92771      44.4625
     0.793695      43.7284
     0.388406      43.2853
     0.530337      43.1583
      1.00187      43.9248
     0.630058      43.1277
     0.198925      41.6582
      1.03628      43.5247
     0.375017      42.5659
      2.10556      44.2474
     0.852955      43.7081
     0.871176      43.8887
      2.53419      44.7296
     0.761165      44.0596
      1.34464      44.3627
      2.40932      44.4050
      1.99725      44.5355
      1.01825      44.0836
     0.410547      43.1778
     0.518490      43.5196
      1.01839      44.5002
      1.03976      43.8498
     0.408736      43.1569
      2.69911      44.5793
      2.31274      44.6244
      2.14662      44.5780
      1.11366      43.8597
     0.397722      43.7402
     0.802954      43.6734
     0.998673      44.0675
     0.401754      43.3797
     0.748368      43.6958
      2.46112      44.6279
     0.408527      44.0695
     0.988162      44.0077
     0.554621      44.4313
      2.34535      44.3544
      1.03497      43.8031
      2.32066      44.8162
      3.10729      45.5029
     0.231658      42.3876
      1.33871      44.6308
      1.70151      44.7847
      1.48273      44.5265
    0.0920030      42.3553
     0.354814      42.5388
     0.203922      41.8597
     0.205118      41.8960
     0.929785      43.5741
     0.859498      43.8349
      1.79405      44.1755
      1.04353      43.3906
      1.49622      44.6992
      1.14913      44.0547
     0.882009      44.2853
      1.45492      44.5733
     0.814635      43.4335
      1.69449      44.5468
      2.45133      44.5891
      2.16668      44.4607
      1.75710      44.3212
     0.202614      42.2151
     0.333784      42.3279
      2.42451      44.3830
      2.15854      44.5290
      1.38120      44.6766
      2.79823      44.9903
     0.370672      43.7745
      1.38253      44.2286
      1.46412      45.5241
     0.552494      44.0875
     0.482904      43.0086
      1.44905      43.7048
     0.252630      42.9122
     0.667675      43.3579
     0.655480      43.4256
      2.11111      44.4269
     0.758482      44.3530
      1.23354      44.4905
      1.74026      44.9910
      1.71545      44.8097
     0.783421      43.6687
     0.172554      42.6251
      1.53949      44.2507
      2.92418      44.8349
      2.32181      44.5741
     0.424735      42.8977
    0.0821529      40.8503
     0.335250      43.9282
     0.424307      42.9608
      1.60895      44.2332
      1.20447      44.2552
     0.304826      42.8255
      2.50292      44.4955
      1.51700      44.1771
     0.345723      43.3023
     0.736172      43.5220
      1.27653      44.1088
      1.29435      44.2339
      1.99617      45.3196
      1.16638      43.8771
     0.798953      43.5108
      2.22323      44.5493
      1.85840      44.2451
      1.29560      44.2398
      2.15300      44.4192
     0.962800      43.6742
      2.07830      44.1301
      1.00200      44.1989
      1.08110      43.8948
     0.730900      43.7227
     0.479700      43.3643
      1.09050      43.5836
      1.51490      43.8671
      1.38230      44.2164
      1.11080      43.9655
      1.01030      43.5845
      1.57070      44.0597
     0.597900      43.0979
      1.00390      44.2194
      1.96280      44.1310
     0.360800      43.1303
     0.809400      44.2314
      2.03140      44.3155
     0.918481      44.1482
      1.68680      44.4308
     0.423900      43.2260
      1.64280      43.9904
      1.74040      44.0544
      1.38490      43.9811
      1.41960      44.1651
      2.15810      44.4666
      1.62230      44.5175
      1.19640      43.7169
     0.393643      43.1884
      1.95380      44.4012
      1.21110      43.8379
      1.47390      44.0684
      1.70620      44.4789
     0.866800      43.8292
     0.870600      43.7428
      1.45000      44.1561
      1.10770      44.1061
     0.642466      43.3445
    0.0800000      41.0008
      1.34000      43.8022
     0.290000      42.1013
     0.150000      41.8340
     0.430000      42.7567
     0.460000      42.5737
      1.79000      44.1482
      1.07000      43.3468
      1.41000      43.9334
    0.0178350      40.0830
     0.796981      43.8231
      1.27053      44.4122
     0.344662      43.9252
      1.28333      44.1316
      1.11121      44.0954
     0.390000      43.5037
     0.260000      42.5939
      1.04000      43.9131
     0.153150      43.1839
     0.860000      43.6191
      1.04000      43.8006
      1.64309      44.4208
     0.683703      43.2505
      1.05983      44.7348
     0.914107      43.8498
      1.15231      44.1626
     0.352113      43.3413
      1.46895      44.9122
      1.03181      43.7224
      1.47483      44.2022
     0.892427      44.5097
      1.09321      44.1709
     0.894422      43.9465
      1.84526      44.4295
     0.573688      43.6095
     0.585251      43.4281
      2.68306      44.7157
     0.331824      42.4596
     0.457338      42.5811
      2.67319      44.6572
     0.284140      42.4444
      1.50008      44.5682
     0.904500      43.5554
    0.0567623      41.5012
      2.28573      44.6602
      2.54731      44.6862
     0.961254      43.8761
      1.45148      44.3542
     0.880916      44.6038
     0.753889      43.9694
     0.728117      43.4103
      3.00223      44.8733
     0.702115      43.7935
      2.00789      44.3044
     0.442511      43.4752
     0.753021      44.2894
      2.66590      44.5792
      2.93459      44.9128
      2.30946      44.6433
      1.27348      44.8520
      1.60631      44.3875
      1.51719      44.1040
     0.914046      44.3936
     0.428459      43.8446
     0.958956      43.6560
      1.95942      44.0451
     0.441636      43.8848
    0.0947788      41.1841
      2.56030      44.4068
     0.315477      43.3437
     0.732997      43.8721
      1.48070      44.3031
      1.41854      44.5146
     0.862946      44.4246
     0.554365      43.2885
      1.75081      44.8134
     0.614613      43.2678
     0.826248      43.8377
      1.60656      44.1430
     0.407010      43.3707
      1.50310      44.0267
    0.0870437      41.0932
      1.98287      44.4890
     0.405649      43.2306
     0.419161      42.8787
      2.84995      45.0272
      2.01795      44.2782
      3.13290      44.7183
      1.26567      44.0074
     0.877050      44.0879
      2.12122      44.6016
      1.43028      44.3758
     0.543841      43.1880
      1.27460      43.9480
      3.34643      44.8567
     0.900113      44.3848
      1.48229      44.6863
     0.620552      43.8662
     0.602639      44.1706
     0.846889      43.7439
      1.09022      43.9423
      1.81109      44.6619
     0.805773      43.8637
     0.581915      44.1516
     0.644565      43.2956
     0.664865      43.5895
      1.16835      44.2304
     0.605640      43.9547
     0.644272      43.2920
      2.72628      44.6676
      2.15393      45.2703
      1.57552      44.3482
     0.956763      44.2705
    0.0989974      42.1008
     0.944338      44.1303
     0.565121      43.5062
      1.57045      44.1347
      1.06886      44.3560
      1.24561      44.7848
     0.961969      43.9736
     0.633099      43.5263
      2.88654      44.7964
      1.07139      43.6538
      2.08053      44.9167
      1.74720      44.2934
      1.53987      44.1277
     0.857635      43.5408
      1.55064      44.5495
      1.35357      44.8649
     0.809472      43.7657
      1.88049      44.2439
      2.20275      44.5481
      2.26341      44.5074
     0.840126      43.9746
      1.81429      44.3582
     0.174130      41.9943
      2.38535      44.8356
      1.40189      44.1473
      1.74603      44.4674
      2.35089      44.5116
      2.05046      44.6880
      2.66747      44.5046
     0.737382      43.9875
     0.547017      44.0285
     0.908719      43.9723
     0.272076      43.1140
      1.25184      44.5888
      2.65472      44.5526
      2.93564      44.6080
     0.295619      43.2641
      1.69638      44.4981
     0.614570      44.5272
      2.62193      44.5512
     0.636891      43.6591
     0.419917      43.5920
     0.277570      42.5308
     0.546143      42.9014
     0.731776      44.1823
     0.801033      44.3957
      1.88694      44.3834
     0.581892      43.6364
      2.30746      44.4663
      1.02609      43.8269
      2.40091      44.7252
      1.83594      44.0579
      1.24281      43.9251
    0.0175623      39.6920
      1.17482      43.9281
      2.30103      44.2779
      2.28167      44.9006
      3.32783      44.8836
      1.65665      44.4009
     0.513049      44.3457
    0.0584847      41.0141
     0.887641      43.7272
      1.15675      43.8941
     0.862681      44.1650
      2.39950      44.5990
     0.648191      43.5255
     0.921140      44.0307
      2.00205      44.9210
      1.48000      44.2217
      1.04000      43.8249
     0.390000      42.7839
     0.360000      42.7538
      1.69000      43.9397
      1.02000      43.8124
      2.39000      44.3915
      1.27000      43.9087
      1.16010      43.5847
     0.750000      43.6715
      2.11000      44.3378
      1.08000      43.5219
      1.30000      43.9705
     0.550000      43.1111
      1.83260      44.6656
      2.01000      44.5927
     0.320000      42.6935
     0.910000      44.0197
     0.430000      42.7551
      1.48000      43.9759
      1.28000      43.9902
     0.360000      42.4741
     0.843600      43.1056
      1.48000      44.3812
     0.930000      43.4169
     0.130000      41.2466
      2.20000      44.3106
     0.290000      42.6524
      1.10490      43.7728
      1.06720      43.6799
      1.02000      44.4112
      1.74450      44.1014
      1.13860      43.6097
      1.12000      43.5721
     0.495000      42.8226
      1.25110      43.8919
      1.21000      43.9452
     0.740000      43.1453
     0.590000      43.3919
     0.370000      42.5744
     0.220000      41.8257
      1.88000      44.4310
      2.66000      44.4839
     0.340000      42.8981
     0.640000      43.0686
     0.370000      42.8750
     0.690000      43.2548
      1.76000      44.3686
     0.350000      42.6299
      2.47160      44.6050
      1.47860      44.2850
     0.450000      43.1794
     0.787400      43.5476
     0.845300      43.8018
      1.73490      44.3341
      1.57600      44.2138
      1.25000      44.5820
     0.960000      43.8656
     0.450000      42.9853
     0.990000      44.0497
      1.38210      44.3226
      1.15000      43.9107
     0.250000      42.2492
      1.35000      44.2285
      1.57270      44.3880
     0.930000      43.5877
      1.62000      44.4641
      1.36000      43.8365
      1.14000      43.9472
     0.420000      43.3003
     0.930000      43.6945
      2.38902      44.7530
     0.350000      42.4032
     0.770000      43.3180
     0.831000      44.3066
      1.85300      44.4328
      1.27000      43.8139
      1.18000      43.8422
     0.739285      43.1405
      1.39751      43.9925
     0.441783      42.6759
     0.873206      43.1278
     0.628700      43.6379
     0.715210      43.0546
      1.50442      44.1450
     0.990252      43.5984
      1.02514      44.2955
      2.63115      44.6950
      2.31257      44.6347
      2.10522      44.1876
     0.107515      42.6249
      1.00660      44.7296
     0.788670      43.7692
     0.186839      41.8497
      1.04072      44.3521
     0.303335      42.2056
      1.83071      44.8673
      1.27490      44.4575
      1.12141      44.3775
     0.303961      43.5409
     0.244221      42.6520
     0.939533      44.1215
      2.84804      44.8489
     0.991374      44.0045
      2.51083      44.7725
      1.17481      44.3388
      1.22172      43.8012
      1.47991      43.9314
     0.485334      43.7529
     0.108467      40.8644
      1.47079      44.3894
     0.630993      43.1907
      3.12890      44.6323
     0.583602      43.1604
      1.49137      45.0513
      2.28855      44.3690
      1.88606      44.3419
     0.714187      42.7291
      2.35925      44.2879
     0.510307      43.1081
     0.772790      43.4571
      2.50126      44.8539
      1.64122      44.7296
      2.48144      44.3773
      1.83521      44.1290
      1.60875      44.2579
      1.37256      44.5235
     0.796562      43.4284
      2.04297      44.7264
     0.350214      43.1054
     0.557566      42.8479
     0.342938      42.0145
     0.413650      43.3137
      1.99040      44.7297
    0.0141440      39.2575
     0.280073      42.0205
     0.246854      41.8721
      2.17110      44.4581
     0.415520      42.6930
     0.419761      42.8389
     0.679346      43.9537
     0.280093      41.9581
     0.187125      41.5095
     0.810464      44.4933
     0.150726      41.5275
      1.08122      43.9595
     0.352279      42.9477
      1.11009      44.4062
     0.598621      43.9717
      1.22254      44.1782
      1.58308      44.4111
      1.66764      43.7667
      1.93192      44.3958
     0.927636      44.0757
     0.742700      43.3098
     0.834021      43.6089
     0.902801      44.3777
     0.580548      43.7349
      1.51754      44.2602
     0.215047      42.9732
      1.16555      44.0369
     0.519367      43.1198
    0.0813028      40.8814
      1.85790      44.1742
      1.10810      44.6463
     0.271562      42.5823
     0.108875      42.4213
     0.994833      44.1869
      2.97856      44.6001
      3.12346      44.8396
      1.57527      44.5604
      1.48140      43.8458
      1.66694      44.5961
     0.828478      43.7976
     0.831096      44.4906
     0.913000      43.6765
     0.831121      43.6350
      1.93329      44.7801
      3.24166      44.5835
      1.14124      44.0172
     0.823580      43.8513
      1.14487      43.8491
      2.78152      44.9313
     0.217091      42.4337
     0.111727      42.3316
     0.937814      44.4857
     0.447941      43.9628
     0.132075      41.2109
      1.55030      43.9666
     0.479939      43.5372
     0.375106      43.4898
      1.31840      43.9040
     0.313664      43.7507
      1.53541      44.2562
      1.63130      44.5611
      1.60499      44.2263
     0.325196      42.1437
    0.0775480      41.0649
      1.29265      44.3218
    0.0472570      40.4036
      2.20220      44.3909
      1.75413      44.2500
      1.05008      44.2393
      1.66240      44.6420
     0.569359      43.7227
     0.646444      43.8321
      1.62878      44.9603
     0.938682      43.9676
     0.698865      43.9898
     0.427214      43.1854
      2.21342      44.5284
     0.312649      42.9398
     0.173965      42.9808
     0.371943      42.6208
     0.960000      43.9398
     0.653175      44.2072
     0.398183      43.4128
     0.972700      43.9381
     0.381828      42.4936
      2.30788      44.2160
     0.404932      42.2369
    0.0799232      41.0836
     0.232598      43.3671
      2.15095      44.4602
      2.75400      44.5291
      2.34377      44.5985
     0.930000      43.4074
      1.25680      44.0803
      3.13652      44.7730
     0.669552      43.6458
     0.378013      42.7518
     0.649378      43.9127
      1.20000      43.7774
      2.57361      44.5384
      1.63000      44.1135
     0.960000      43.3160
      1.58000      43.8609
      1.27548      44.4871
     0.662621      42.9130
     0.286697      42.7702
      1.85333      44.1140
      1.35000      43.9586
     0.286152      42.3831
      1.40243      43.8392
     0.630000      42.9582
     0.480000      42.6320
     0.654572      43.2262
      1.02428      43.7380
      1.58978      44.2393
      1.74465      44.1881
      1.56526      44.5383
      1.10637      44.7895
     0.382067      43.2611
     0.976909      44.2968
      2.30660      44.4833
      1.62770      44.4441
     0.687543      43.2736
      1.00918      43.8131
      1.66944      43.9352
      2.84069      44.5785
      2.54702      44.9520
      1.01000      43.3679
      1.89085      44.9070
      2.16510      44.3663
      1.99578      44.1429
      1.99124      44.7197
      2.08717      44.4786
     0.678224      43.4594
      2.08982      44.4148
     0.720000      43.3028
     0.355435      43.2072
      2.44713      44.4749
      1.31743      43.8184
     0.360000      42.6815
     0.183173      42.2897
      1.69137      44.2607
     0.748835      43.8812
    0.0299520      41.1736
     0.129439      41.4976
      1.10000      43.9523
      1.35000      43.6003
      2.04500      44.2314
      1.43157      44.5229
     0.275987      42.0457
     0.671401      43.6789
      1.09000      43.9644
      2.03680      44.5554
      1.17012      43.7421
     0.590988      43.5274
      2.09266      44.4216
     0.627130      43.8839
      2.24851      44.8296
     0.360000      43.0430
      1.34806      44.2064
     0.394078      42.7805
     0.367191      42.2977
      1.10000      44.0149
      2.86798      44.8173
      1.61646      44.7251
     0.606524      43.4278
      2.21908      44.3366
      2.84807      44.6015
     0.383197      42.1822
     0.644918      44.3477
      1.17995      43.9746
     0.772912      43.7989
      3.30611      44.7879
      1.52000      44.6630
      1.38000      43.3469
     0.900000      43.6840
      1.06000      44.0671
      1.34899      44.0446
     0.379218      42.5639
     0.106885      42.2217
     0.165663      41.3279
      1.83574      44.7224
      1.04314      44.3010
      1.03650      43.9384
      1.35000      44.0774
     0.110000      41.3241
      1.46765      44.3177
      1.51996      44.7009
     0.355554      42.5736
     0.511161      44.6395
