#R-K     X/O
      2.11118    -0.430362
      3.25989     0.530253
      1.75272    0.0501614
      2.43979    -0.237045
      2.37864     0.620716
      2.53727     0.392927
      1.87442     0.297472
      1.93929     0.115143
      2.16461    0.0531759
      3.99860      1.10882
      3.82522     0.481870
      1.66707     0.432381
      2.95796     0.504853
      1.84361    -0.242940
      3.23025      1.01469
      1.94687     0.133443
      3.37599     0.536039
     0.882312     -1.98670
      3.33667     0.882108
      2.58386    -0.166089
      2.09666    -0.104713
      2.14275     0.244123
      2.10093   -0.0486422
      2.83811    -0.819578
      2.73804     0.544706
      2.50352     0.654815
      4.65160     0.327619
      2.10102     0.798256
      2.88604     0.474263
      2.08928     -1.17757
      2.47169     0.481875
      2.93564     0.421928
      2.84391     0.668839
      1.87753    -0.686221
      1.96709    -0.184818
      1.94165     0.349633
      1.70501    -0.887973
      2.66591     0.566264
      2.40030    -0.373319
      3.37850     0.428709
      3.48130   -0.0479517
      2.83657     0.297128
      3.18105    0.0337801
      2.36729     0.277626
      3.04748     0.484301
      2.42428    -0.622426
      3.09258     0.843413
      2.84182     0.138910
      2.98002    -0.316006
      2.18316    -0.175995
      2.21107     0.491663
      1.65013     0.483002
      3.81672      1.14319
      2.82438     0.635580
      2.34471     0.413866
      1.56353   -0.0569148
      2.03489     0.127295
      3.28123      1.17536
      2.44153      1.07744
      2.46700     0.401962
      3.24090     0.507541
      1.75657    -0.507121
      3.49523     0.365892
      2.84319      1.05687
      1.92540     0.321491
      3.00601     0.261814
      2.34387     0.377592
      3.01149     0.189795
      2.19580     0.842462
      2.69253     0.956569
      2.95811    -0.315461
      2.96821    -0.171374
      2.86430     0.746566
      2.65450     0.613029
      3.16236     0.350965
      2.44905     0.159491
      2.76954     0.493144
      3.39306     0.181214
      2.61179   -0.0716214
      2.78258    -0.246634
      3.08881     0.480466
      2.23806     0.530284
      2.97099     0.274667
      2.50401     0.754311
      2.72444     0.965398
      1.67803    -0.148256
      2.25857     0.474941
      3.01441    0.0880237
      3.11687     0.519781
      2.32559    0.0551796
      3.46417     0.943736
      2.93651     0.438435
      3.00208     0.735701
      2.33784     0.239298
      3.05774     0.214214
      1.55753     0.818110
      2.72453     0.145194
      2.51734    0.0977411
      2.94958     0.711420
      2.06688    -0.155959
      3.06225     0.179615
      3.44548     0.397383
      3.35935     0.714408
      2.70983   0.00246429
      2.05001    -0.131713
      2.03515    0.0562129
      3.01094     0.431674
      2.36785    -0.583136
      2.08448    -0.819840
      1.84539     0.294148
      2.71775    -0.113393
      3.35783     0.657269
      1.74215   -0.0550308
      2.39470    0.0772629
      3.56194     0.565546
      2.36588     0.188116
      2.92212     0.828151
      1.76546    -0.558522
      2.88979     0.323053
      2.54986     0.263117
      2.57741    0.0481095
      2.99081     0.697330
      2.05671    0.0848041
      2.11365     0.839692
      3.02512     0.445505
      2.23701     0.149131
      2.40581     0.186880
      2.81492    -0.782240
      2.99902      1.16232
      2.34070    0.0978179
      3.54301     0.725767
      2.12735    -0.526783
      3.07150   -0.0741129
      1.76591    -0.467205
      2.40110     0.621548
      2.40628     0.375711
      1.77376     0.129254
      2.77618    -0.157915
      1.96024     0.139225
      2.10076     0.219105
      3.16796    0.0408988
      2.79208    -0.294007
      3.19504      1.14587
      3.20301     0.222834
      2.72474     0.312432
      2.14411    -0.312680
      1.95946    0.0521812
      1.91806     -1.06855
      3.03500     0.584835
      2.39593     0.390346
      1.99422    -0.342512
      3.60270     0.124145
      2.68064    -0.664435
      1.87071    -0.118394
      3.05801     0.176360
      3.41436     0.996105
      2.63877     0.608151
      2.10804     0.607224
      2.30045     0.290983
      2.10504     0.467455
      2.52822     0.167016
      1.99161     0.115749
      2.69779     0.814999
      1.90171  -0.00555038
      3.56698     0.707698
      2.55087     0.418529
      3.30457     0.423717
